Company,Website
Kleros,https://kleros.io
iCreate Consulting,http://www.icreateconsulting.com/
Ministério da Educação,https://www.dge.mec.pt/
Ideoma Design,http://www.ideoma.pt
Data Recover Center,http://www.datarecovercenter.pt
Sitewerk,http://www.sitewerk.ch
Telnyx,http://www.telnyx.com
The Key Talent,https://thekeytalent.com/?lang=pt-pt
ControlSpace,https://www.controlspacestorage.com/pt
Papersoft,
Identity,http://www.identity.pt
Macrobond,https://macrobond.com/
Biz2People,https://biz2people.com/
La Redoute Portugal‎,http://www.laredoute.pt
HUUB,
Simoldes Group,http://www.simoldes.com
Luso IT,http://lusoit.pt/
Sceelix,http://www.sceelix.com/
Iberfar,http://www.iberfar.pt
BlockFi,https://blockfi.com/li
Bial,http://www.bial.com/
OppLane,https://www.opplane.com/
Fortinet,https://www.fortinet.com/
BrandChoice,http://www.brandchoice.pt
Boom it,https://boomit.pt/
WHITE Portugal,http://www.white.eu
﻿Altronix,http://www.altronix.pt/
SoftReady,http://www.softready.com
ACTIVETECH,http://www.activetech.pt
Sprint CV,https://www.sprintcv.com/
ProjectBox,http://projectbox.pt
Equadis,http://www.equadis.com
CA Informática,https://www.creditoagricola.pt
Auxadi Consultores,https://auxadi.com/
McDonald's Portugal,https://www.mcdonalds.pt/
EZ4U,http://www.ez4u.pt/
FindHit,
W20,http://www.w20.pt
Korn Ferry,https://www.kornferry.com/
Grünenthal,https://www.grunenthal.pt/
Hikma Pharmaceuticals,https://www.hikma.com/pt-pt/visao/
Neverhack,https://neverhack.com
ACIN - iCloud Solutions,http://www.acin.pt
Cside,http://www.cside.pt
Innovation & Engineering HUB (VW),https://www.volkswagen-groupservices.pt/
Actual Training,http://www.actualtraining.pt
Fibersail,http://www.fibersail.com/
PerforMarkt,http://performarkt.com/
PoetikPenguin,https://www.linkedin.com/company/poetik-penguin/
Optimeios,https://www.optimeios.pt/
Hays Portugal,http://hays.pt
Glintt Next,https://www.glinttnext.com/
Bioglobal,https://bioglobal.pt/
ISO-SIGMA,https://www.iso-sigma.pt/
zerozero,https://www.zerozero.pt/
Promptly Health,https://www.promptlyhealth.com
SaveCook,https://save-cook.com/
Smiling Cloud,https://www.smilingcloud.pt/
mindshaker,http://www.mind-shaker.com/
Boom Bap Wear,
Izzato,http://www.izzato.com
SensesLab,
HiJiffy,https://hijiffy.com
Kitch,
Beltrão Coelho,http://www.beltraocoelho.pt
Atriis Technologies,http://www.atriis.com/
Sofyne,https://sofynetech.com
Prime Nearshore,http://www.primenearshore.com
SdiLab,http://www.sdilab.pt
Passio,https://www.passio-consulting.com/
Omnidea,http://omnidea.net
Lokalise,https://lokalise.com/
Ometria,https://ometria.com/
notEqual,http://notequal.pt/
Fork IT,
GUC Agency,https://www.guc.nl
Hertz,https://www.hertz.com/
Yunit,http://www.yunit.pt
Força Aérea Portuguesa,https://emfa.pt
Grupo Boticário,http://www.grupoboticario.com.br
InPost Group,https://inpost.eu/
Anticimex,http://www.anticimex.pt
Go Wi-Fi,https://www.gowi-fi.pt/
TMG,https://www.tmg.pt/
"Zolve - Logística e Transporte, S.A.",https://www.zolve.pt/
HELUKABEL,http://www.helukabel.com
Blip.pt,https://www.blip.pt/
Milestone Consulting,http://www.milestone.pt
APR Management Solutions,http://www.apr.pt
Omknee,https://omknee.com/
IOTech - Innovation on Technology,https://iotech.pt/
EasyApp,https://www.easyapp.pt/
Makadu,https://makadu.net/
Andela,https://andela.com/
Microsoft Portugal,http://www.microsoft.com
Clan (antiga Multipessoal),https://www.multipessoal.pt/
INESC-ID,https://www.inesc-id.pt/
Sysconnect,https://www.sysconnect.pt/
Trading Economics,http://www.tradingeconomics.com/
Outscope,
Cartões & Soluções,http://www.cartoesesolucoes.com
WayNext,http://www.waynext.com
ARPA Elastic Solutions,http://www.arpa.tech/
Datalynx Portugal,http://www.datalynx.com/
Tips4y,https://www.tips4y.pt/
Brightcove,https://www.brightcove.com/
Technology Resourcing,https://tech-res.co.uk/
TJA,https://www.tja.pt
AssetFloow,https://assetfloow.com/
AIBILI,http://www.aibili.pt
Kuantokusta,http://www.kuantokusta.pt
Nav,https://www.nav.pt/
Spring Professional,http://www.springportugal.com/
Assystem Portugal,http://www.assystem.com
Greenvolt,https://greenvolt.com/
ChartMogul,https://chartmogul.com/
Lactogal,http://www.lactogal.pt
SGL Carbon,https://www.sglcarbon.com/en/
NFON,http://www.nfon.com
bConcepts,http://www.bconcepts.pt
PrimeIT,http://www.primeit.pt
EDP,http://www.edp.pt
e.Near,http://www.enear.co
Natae,
PETsys Electronics,http://www.petsyselectronics.com/web/
Ryan LLC,https://www.ryan.com
Zkipster,http://www.zkipster.com/
BSB - Smart & Bright Ideas,https://bsb.pt
Merkle Portugal (a dentsu Company),https://www.merkle.com/
Oryon,https://oryon-solutions.com/
Pairpoint,https://pairpoint.io/
Kriaçao,http://www.kriacao.pt
Hitachi Consulting,http://www.hitachiconsulting.com/
Perto Design,https://perto.design/
InstalPlus,http://www.instalplus.pt/
Blackorange Inc,http://www.blackorange.pt/
Bane Tech,https://www.banetech.net
iTGROW,
Argo Partners,http://www.argopartners.pt
Makeadream,http://makeadream.pt/
Corticeira Amorim,https://www.amorim.com/
LIXIL,https://www.lixil.com/en/careers/
ActOne,https://www.actone.pt/index.html
Ducker Carlisle,http://duckercarlisle.com/
Journee,https://www.journee.ai/
Volkswagen Group Services,https://www.volkswagen-groupservices.pt/
BitSight Technologies,https://www.bitsight.com/
Pelican Bay,https://pelicanbay.pt/
Oyster,http://oysterhr.com
LITTHUB,https://www.litthub.com/
Clynx,https://clynx.io/
Salsa Jeans,http://www.salsajeans.com
Grupo Visabeira,http://www.grupovisabeira.com
Majorel,https://www.majorel.com
SonderPeople,https://sonderpeople.com/
Evac,http://www.evac.pt
DigestAID,https://digestaid.health
DBX Creative Network,http://dbx.pt
Addcode.io,http://addcode.io/
Enercon,https://www.enercon.de/
Elecctro,http://elecctro.com/
Fyld,http://www.fyld.pt/
Inova Software Lisbon,http://www.inova-software.com
Legacy Gallery,https://legacy-gallery.com/
Corium Biotech,https://www.coriumbiotech.com/
Bild Corp,http://www.bild.pt/
Unik SEO,https://www.unik-seo.com/
Igeneris,http://www.igeneris.com/
Instituto Pedro Nunes,https://www.ipn.pt
Sistemas Ideais,http://www.sistemasideais.pt
KI - Knowledge Inside,http://www.knowledgeinside.pt
Softventure,http://www.softventure.pt
Comunicarte,http://comunicarte.pt/
PluggableAI,https://www.pluggableai.xyz/
OVH,https://www.ovh.pt
Digisource Serviços Informáticos,http://www.digisource.pt
TrueKnowledge,https://www.trueknowledge.pt/
RealLife Technology,http://www.reallifetechnology.ca
The Epic Talent Society,http://www.epictalentsociety.com
AGR Inventory,https://www.agrinventory.com/
Ydreams,
YoungNetwork,http://www.youngnetworkgroup.com/
Faculdade Ciências da Univ de Lisboa,https://ciencias.ulisboa.pt/en
Uptous,
Upwork,https://www.upwork.com/
eSolidar,
Beyond,https://beyondpricing.com
Velocix,http://www.velocix.com/
Quatenus,https://www.quatenus.com/
Widesys,http://www.widesys.com/en/
Buildness Group,https://buildness.pt/
"Techframe,S.A.",http://www.techframeworld.com/
Llorente & Cuenca Portugal,http://www.llorenteycuenca.com/
Keyrus Portugal,https://keyrus.com/
Bannerwise,http://bannerwise.io
Indigo,http://www.indigo.pt
Get Digital,https://www.agenciagetdigital.com/en
Ecobite,http://ecobite.pt
Raceland Automação,https://raceland.pt/raceland-automacao/
E-goi,https://www.e-goi.com/pt/
Stellantis,https://www.stellantis.com
Taimatica,https://www.taimatica.pt/
Swig,https://www.swig.pt/
Biorce,https://www.biorce.com/
Nordea Asset Management,https://nordeaassetmanagement.com/
"Compunet - Informática e Serviços, Lda",https://compunet.pt/
Standard America,https://www.stdamerica.com/
Planet Farms,http://www.planetfarms.ag
PMH,https://www.pmh.pt/
HiBob,www.hibob.com/careers
Cycloid,http://www.cycloid.pt
ABsmartly,https://absmartly.com/
Wifi4media,https://www.wifi4media.com/
Yerbo,https://yerbo.co/
Casafari - Real Estate Data,http://www.casafari.com
Ascendi,http://ascendi.pt/
SEGULA Technologies,http://www.segulatechnologies.com/
Ticket restaurante,http://www.ticket.pt
Paddle,https://www.paddle.com/
InnoWave,https://www.innowave.tech/
Mobiweb,https://mobiweb.pt
Fernandes & Canhoto,http://www.fcanhoto.pt
Be Ideas,http://beideas.pt/
Veedeeo,http://www.veedeeo.me
PaySoft,https://www.paysoft.pt/
Facts & IT,http://www.factsandit.pt/
Link RedGlue,https://linkredglue.com/
Tripadvisor & Viator,https://www.tripadvisor.com/
Galp Energia,http://www.galpenergia.com
JLL,https://www.jll.pt/
Vipa Connect,https://www.vipaconnect.com/
InAdmin Risko,https://inadmin.com/
Medialivre,http://www.medialivre.pt/
Neonumy,http://neonumy.com
Neertec,https://neertec.com/
LxDesign,https://lxdesign.pt/
Universidade de Aveiro,https://www.ua.pt
Viriato & Viriato,http://www.viriato.com.pt
Cleva Solutions,https://cleva-solutions.com/pt-pt/
Forvis Mazars,https://www.mazars.pt
Lumenalta (antiga Clevertech),https://clevertech.biz/
ChipSite,https://www.chipsite.pt/
Kwamecorp,http://www.kwamecorp.com
DTx - Digital Transformation CoLAB,http://www.dtx-colab.pt/
Grandes Planos,http://www.grandesplanos.com/
ICP Logistica Portugal,https://icplogistica.pt/
General Electric (GE),https://www.ge.com/
Inygon,http://inygon.com/
Brandup,https://www.brandup.pt
Ifthenpay,https://ifthenpay.com/
Nickel,https://nickel.eu/fr
Bring Global,http://www.bringglobal.com
PCMedic,http://www.pcmedic.pt
Bright Science,http://www.bright-science.com/
Solverde.pt,https://www.solverde.pt/
md3 studio,https://www.md3studio.com/
Portal da Queixa,http://portaldaqueixa.com
Spawn Studios,http://www.spawnstudios.com
Ficosa,http://www.ficosa.com/
Seamlink - Seamless Enterprise Link,http://www.seamlink.com
Frontkom,http://www.frontkom.com/
Two Impulse,https://twoimpulse.com/
Masterlink,http://www.masterlink.pt
Ricoh,https://www.ricoh.pt/
Active Space Technologies,http://www.activespacetech.com
InoCrowd,https://inocrowd.com/
Further Learning Group,http://www.furtherlearninggroup.com
Printify,https://printify.com/
LTPlabs,http://ltplabs.com/
M&A Digital,http://digital.grupoma.eu
Decathlon,https://www.decathlon.pt/
NBCC Accounting,https://www.nbcc-accounting.com
Virtusai,
MyPrivate Boutique,https://www.myprivateboutique.ch/
Partstech (OEC),
CapsLock,https://www.capslock.global/
DSR Corporation,http://en.dsr-corporation.com 
Alphaserve Technologies,http://www.alphaserveit.com
Insia,https://www.insia.pt/
CP - Comboios de Portugal,https://www.cp.pt/
FundManager,http://www.fundmanager.pt
TKT,http://www.tkt.pt
Kodly,https://kodly.io/
F5 IT,http://f5it.pt/
Framedrop.ai,
Hestia Technology,https://hestiatechnology.pt
Oracle Portugal,http://www.oracle.com/pt
Keyinvoice,http://www.keyinvoice.com
ViGIE Solutions,http://vigiesolutions.pt
Bomsite,http://www.bomsite.com
Raize,http://www.raize.pt
Dev2Grow,https://dev2grow.com/
Equação IT,https://www.equacaoit.pt/
Covent IT,https://coventit.com
All About Now,https://allaboutnow.webflow.io/
J.Canão,http://www.jcanao.com
Sicasal,https://www.sicasal.pt/
Syone,http://www.syone.com
Near.u,https://www.nearu.pt/
"Thomaz dos Santos, SA",https://www.thomazdossantos.pt/
eSPap,https://www.espap.pt/Paginas/home.aspx
TORKE+CC,http://www.torkecc.com
"Casa das Lampadas, SA",https://www.casadaslampadas.com
Accenture Portugal,https://www.accenture.com/pt-pt
Habber Tec Portugal,http://www.habber.com/
ZF - TRW,https://www.zf.com/
Openlimits,http://www.openlimits.pt
Komoot,https://www.komoot.com/jobs
YouClap,
Visual Thinking,https://www.visual-thinking.pt
WireMaze,http://www.wiremaze.com
Peopleware,http://www.peopleware.pt/
MNW Digital Agency,http://www.mnw.pt
Inovcorp,https://inovcorp.com/pt/home
Basecone,https://www.basecone.com/
Redshift Global,http://www.redshift.global/
Loqr,https://loqr.io/
Zeugma,http://www.zeugma.pt/
New Note Solutions,http://newnote.pt
Heptasense,http://heptasense.com/
Nortech AI,https://nortech.ai/
Palo Alto Networks,http://www.paloaltonetworks.com/
Boston Consulting Group Portugal (BCG),http://www.bcg.pt/
Dixtior,http://www.dixtior.com
VILT Group,https://www.vilt-group.com/pt/
Ndrive,http://www.ndrive.com
SyndicateRoom,http://www.syndicateroom.com/
Bloomidea,http://www.bloomidea.com
MediaGaps,http://www.mediagaps.com/pt/
Azorean,http://azorean.eu/
Grupo CH Business Consulting,http://grupoch.pt
Vestas,https://www.vestas.com/
Equal Experts Portugal,http://www.equalexperts.com/
KLx,https://www.klx.pt/
Mobiag,http://mobiag.com/pt/
CSG,https://www.csgi.com/
Grupo Cooprofar-Medlog,http://www.medlog.pt/
EOTIM,https://www.eotim.com/pt/
Uniksystem,https://www.uniksystem.com/
Meivcore,http://meivcore.pt/
Schindler Group,http://www.schindler.com
Caravela Seguros,https://www.caravelaseguros.pt/
CloudAlentejo,https://cloudalentejo.pt/
Timestamp,http://www.timestamp.pt
Edubox,http://www.edubox.pt
Armatis Portugal,http://www.armatis.com
ANO Software,http://www.ano.pt
Romafe,http://www.romafe.com/
Aquinos Group,https://www.aquinosgroup.com/
Fluxodata,https://www.fluxodata.pt/
"diconium Portugal, unipessoal Lda",http://www.diconium.com
CMVM,http://www.cmvm.pt
Grover,https://www.grover.com/
Envision Pharma Group,https://www.envisionpharmagroup.com/
Datavexa,https://www.datavexa.com/
Amplemarket,https://amplemarket.com/
Media Capital,http://www.mediacapital.pt
Tecmic,http://www.tecmic.com
md3,http://www.md3.pt/pt/
Valérius Group,http://www.valerius.pt/
CGI -APISDE,
OpenSpring,https://www.openspring.com/en/
Teya,https://teya.com/
Konica Minolta,http://www.konicaminolta.pt
Adidas,https://www.adidas-group.com
Trouva,https://www.trouva.com/
Miew Creative Studio,http://www.miew.pt
Lookatitude,http://www.lookatitude.eu
Muvu Technologies,https://www.muvu.tech/
HBM FiberSensing,http://www.fibersensing.com
Sword Health,http://www.swordhealth.com
Regra,
Luggit,http://www.luggit.app
Skie.io,https://www.skie.io
Jumia Porto Tech Center,http://www.portotechcenter.com
GBL Tech,http://gbl.pt/
Menina design,http://www.meninadesign.pt
Losch,https://losch.lu/
Sermicro,https://gruposermicro.com/pt/
CBE,http://www.cbe.pt
V7 (v7labs.com),https://v7labs.com
Fibroglobal,https://www.fibroglobal.com/
Blocks Technology,https://www.blockstec.com/
Thales Edisoft Portugal,http://www.edisoft.pt
CPS - Consultores de Informática,http://www.cps-ci.com
Tekzenit,https://www.tekzenit.com
RH mais,https://www.gruporhmais.pt/pt-pt/
Cynqed,https://cynqed.com
Waveweb,https://waveweb.pt/
Garland,https://www.garland.pt
Liqui.do,https://liqui.do/
Contentserv,
Transfor Indústria,https://transforgroup.com/industria/
WeMystic SA,https://www.wemystic.com
Riskified,https://www.riskified.com
Hlink,https://www.hlink.pt/
Cazoo,https://www.cazoo.co.uk
ITS Portugal,http://www.its-portugal.com/
DAB Digital Absolut Business,https://www.dab.pt
Vantiva,https://www.vantiva.com/
CodSec.io,https://www.codsec.io/
Astro Empires,http://www.astroempires.com
Doinn,https://doinn.co/
Progressive Cloud,https://www.progressivecloud.org/
Ecoplug,https://ecoplug.pt/
blink-iT Solutions,http://www.blink-it.pt
Weborama,http://www.weborama.com
Filedoc,http://www.filedoc.eu/
WebHS,http://www.webhs.pt
O Escritório,http://oescritorio.net
CPCECHO,https://www.cpcecho.com/
SevenAir Academy,https://sevenair.com/
Coca-Cola Europacific Partners,https://www.cocacolaep.com/
CINEL,https://www.cinel.pt/
BayWa r.e.,http://www.baywa-re.com
Durit Coatings,http://www.duritcoatings.pt
Petratex,https://www.petratex.com/
Kevel,https://www.kevel.com/
XD Software,http://www.xdsoftware.pt
Zertive,http://www.zertive.com
Magnomics,
Lockwood Publishing Ltd,https://lockwoodpublishing.com/
PeopleConquest RH,http://www.peopleconquest.com/
BRAND 22 Creative Agency,https://brand22creativeagency.com
Gaming Innovation Group,https://gig.com/
IAPMEI,http://www.iapmei.pt/
ITDS Portugal,https://itdsportugal.com/
Logical Safety,
"Instituto de Informática,I.P.",http://www.seg-social.pt/
Tensator Group Portugal,http://www.tensatorgroup.com
Innov Digital,http://www.innovdigital.pt
LSTS,https://lsts.fe.up.pt/
Tabby,https://tabby.ai/
Banco Credibom,http://www.credibom.pt
Dig-In (antiga Zomato Portugal),https://www.dig-in.pt/
Domínios.PT,http://www.dominios.pt/
Didimo,https://www.mydidimo.com/
ShareValue,http://www.sharevalue.pt
Perguntas Qb,https://www.perguntasqb.pt
Bhout,https://www.bhout.com/
Signal AI,https://signal-ai.com
Welvaart,https://www.welvaart.io/
7.1 Tech Hub (Seven.One Tech Hub),https://sevenone.pt
NOS Sistemas,https://www.nos.pt/pt/institucional/a-nos/
WhiteStar Asset Solutions,https://www.whitestar.pt/
MoreData,http://www.moredata.eu
Volt Games,http://www.voltgames.io
Deliveroo,https://deliveroo.co.uk/
Schaeffler,https://www.schaeffler.es/pt/
